;;Planejamento Financeiro Mensal;;;;;;;;;;;ANO:;2022;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;JAN;FEV;MAR;ABR;MAI;JUN;JUL;AGO;SET;OUT;NOV;DEZ;;;;;;;;;;;;;
;;Caixa mensal;10,00;0;0;0;0;46,65;131,08;124,47;375,59;907,30;1.376,85;1.782,84;;;;;;;;;;;;;
;;data;01/01/2023;01/02/2023;02/03/2023;02/04/2023;02/05/2023;02/06/2023;03/07/2023;02/08/2023;02/09/2023;02/10/2023;02/11/2023;02/12/2023;;;;;;;;;;;;;
;;RECEITA;JAN;FEV;MAR;ABR;MAI;JUN;JUL;AGO;SET;OUT;NOV;DEZ;;TOTAL NO ANO;TENDÊNCIA;;;;;;;;;;
RECEITA;Renda;Salário;900,00;900,00;900,00;900,00;900,00;900,00;900,00;900,00;900,00;900,00;900,00;900,00;;10.800,00;;12,60%;% Ganhos em Relação à Receita Total;;;;;;;;
RECEITA;Renda;Salário;1.350,00;1.350,00;1.350,00;1.350,00;1.350,00;1.350,00;1.350,00;1.350,00;1.350,00;1.350,00;1.350,00;1.350,00;;16.200,00;;34,18%;;;;;;;;;
RECEITA;Renda;Ajuda da família;150,00;150,00;150,00;150,00;150,00;150,00;150,00;150,00;150,00;150,00;150,00;150,00;;1.800,00;;11,49%;;;;;;;;;
RECEITA;Renda;Extra;;;;;;;;;;;;;;0,00;;9,16%;;;;;;;;;
RECEITA;Renda;Investimentos;100,00;0,98;;97,00;;;256,77;45,00;;20,00;45,00;45,00;;609,75;;2,14%;;;;;;;;;
RECEITA;Renda;;;;;;;;;;;;;;;0,00;;10,05%;;;;;;;;;
RECEITA;Renda;;;;;;;;;;;;;;;0,00;;2,14%;;;;;;;;;
RECEITA;Renda;;;;;;;;;;;;;;;0,00;;2,14%;;;;;;;;;
RECEITA;Renda;;;;;;;;;;;;;;;0,00;;2,14%;;;;;;;;;
RECEITA;Renda;Outros;;;;;;;;;;;;;;0,00;;20,38%;;;;;;;;;
;;RENDA TOTAIS;R$ 2.500,00;R$ 2.400,98;R$ 2.400,00;R$ 2.497,00;R$ 2.400,00;R$ 2.400,00;R$ 2.656,77;R$ 2.445,00;R$ 2.400,00;R$ 2.420,00;R$ 2.445,00;R$ 2.445,00;;R$ 29.409,75;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;DESPESA PREVISTA;JAN;FEV;MAR;ABR;MAI;JUN;JUL;AGO;SET;OUT;NOV;DEZ;;TOTAL NO ANO;TENDÊNCIA;;;;;;;;;;
DESPESA PREVISTA;Saúde;Plano de Saúde;420,84;390,17;390,17;456,78;390,17;390,17;404,12;390,17;330,00;332,15;390,17;390,17;;4.675,08;;30,17%;;;;;;;;;
DESPESA PREVISTA;Economias e Investimentos;Aposentadoria;66,60;73,45;71,10;71,10;71,10;97,00;72,00;72,00;72,00;72,00;72,00;72,00;;882,35;;6,78%;;;;;;;;;
DESPESA PREVISTA;Assinaturas e IoT;Telefone Celular;49,99;92,98;85,14;57,98;60,98;62,06;60,98;60,98;57,84;57,84;57,84;57,84;;762,45;;4,99%;;;;;;;;;
DESPESA PREVISTA;Assinaturas e IoT;Internet / Tv / Assinatura / Google;30,79;30,79;33,98;33,98;33,98;33,98;43,88;33,98;33,98;33,98;33,98;33,98;;411,28;;1,67%;;;;;;;;;
DESPESA PREVISTA;Educação;Faculdade;;;;;;;;;;;;;;0,00;;25,77%;;;;;;;;;
DESPESA PREVISTA;Educação;Transporte Faculdade;;;;;;;;;;;;;;0,00;;9,26%;;;;;;;;;
DESPESA PREVISTA;Saúde;Consultas Médicas;150,00;;300,00;150,00;;;150,00;150,00;bia;;150,00;150,00;;1.200,00;;9,26%;;;;;;;;;
DESPESA PREVISTA;Alimentação;Lanches e fast food;;;;;;;;;;;;;;0,00;;8,57%;;;;;;;;;
